,gendered,neutral,correct
3243,"Pasado el plazo los limpiadores , las limpiadoras retirará todos los materiales",Pasado el plazo el personal de limpieza retirará todos los materiales,False
3250,Curso de idioma dirigidos a aquellas perfeccionar su segunda lengua,Curso de idioma dirigidos a quienes quieran perfeccionar su segunda lengua,False
3258,Cada ponente al congreso contará con una carpeta con materiales,Cada ponente al congreso contará con una carpeta con materiales,False
3263,El tiempo que esté aquí no debe tomar vitaminas que no le sea suministrada por los expertos,El tiempo que esté aquí no debe tomar vitaminas que no le sea suministrada por el personal especializado,False
3267,Otro campo de actuación importante fueron los hospitales privados dónde se trabaja con los enfermeros codo con codo,Otro campo de actuación importante fueron los hospitales privados dónde se trabaja con el personal sanitario codo con codo,False
3269,los partidos funcionan únicamente como vehículo para que alguna pueda hacerse con el poder,los partidos funcionan únicamente como vehículo para que cierta persona pueda hacerse con el poder,False
3275,Mientras esté ingresado no debe tomar agua que no le sea suministrada por los especializados en este caso,Mientras esté ingresado no debe tomar agua que no le sea suministrada por el personal experto en este caso,False
3280,"los que necesiten ayuda , que acudan al mostrador","quienes necesiten ayuda , que acudan al mostrador",False
3287,los partidos funcionan únicamente como vehículo para que alguna pueda hacerse con el poder o mantenerse con él,los partidos funcionan únicamente como vehículo para que cierta persona pueda hacerse con el poder o mantenerse con él,False
3298,Todos los ponentes al curso contará con una carpeta con materiales,Cada ponente al curso contará con una carpeta con materiales,False
3310,Tenemos que solventar los problemas que tiene el equipo promotor contratando personal con un perfil diferente para compensar los fallos,Tenemos que solventar los problemas que tiene el equipo promotor contratando personal con un perfil diferente para compensar los fallos,False
3313,Estas herramientas permitirán que los administrativos trabaje con más eficacia y realice sus actividades de manera más óptima,Estas herramientas permitirán que el personal administrativo trabaje con más eficacia y realice sus actividades de manera más óptima,False
3325,Estas herramientas permitirán que los administrativos trabaje con más rapidez y realice sus actividades de manera más óptima,Estas herramientas permitirán que el personal administrativo trabaje con más rapidez y realice sus actividades de manera más óptima,False
3326,"Con demasiada frecuencia , los equipos de trabajo funcionan únicamente como vehículo para que alguna pueda hacerse con el poder","Con demasiada frecuencia , los equipos de trabajo funcionan únicamente como vehículo para que cierta persona pueda hacerse con el poder",False
3354,Disfruto seáis vosotros quienes de vez en cuando me lea algo,Disfruto alguien de vez en cuando me lea algo,False
3355,estudiantes declaran declara su conformidad con el procesamiento electrónico de sus datos personales.,estudiantes declaran declara su conformidad con el procesamiento electrónico de sus datos personales.,False
3364,los equipos de futbol funcionan únicamente como vehículo para que alguna pueda hacerse con el control,los equipos de futbol funcionan únicamente como vehículo para que cierta persona pueda hacerse con el control,False
3368,Durante su ingreso no debe tomar vitaminas que no le sea suministrada por los expertos en este caso,Durante su ingreso no debe tomar vitaminas que no le sea suministrada por el personal especializado en este caso,False
3375,Para ser catedrático mucho esfuerzo,Para obtener una cátedra mucho esfuerzo,False
3424,los profesores,el profesorado,False
3426,alguno es el responsable del éxito del equipo.,cierta persona es la responsable del éxito del equipo.,False
3431,el profesorado,el profesorado,False
3436,alguna es la responsable del éxito del equipo.,cierta persona es la responsable del éxito del equipo.,False
3438,las formadoras,el profesorado,False
3444,las profesoras,el profesorado,False
3450,Aún no existen estudios determinantes de por qué algunas tienen enfermedades crónicas,Aún no existen estudios determinantes de por qué ciertas personas tienen enfermedades crónicas,False
3452,Aún no existe una compresión cabal de por qué algunos tienen enfermedades crónicas,Aún no existe una compresión cabal de por qué ciertas personas tienen enfermedades crónicas,False
3461,Alguna quiere salir a la pizarra,Alguien quiere salir a la pizarra,False
3463,Aún no existe una compresión cabal de por qué algunas tienen intolerancias alimenticias,Aún no existe una compresión cabal de por qué ciertas personas tienen intolerancias alimenticias,False
3467,Aún no existe una compresión cabal de por qué algunas tienen enfermedades crónicas,Aún no existe una compresión cabal de por qué ciertas personas tienen enfermedades crónicas,False
3468,Aún no existe una compresión cabal de por qué algunas tienen reacciones alérgicas,Aún no existe una compresión cabal de por qué ciertas personas tienen reacciones alérgicas,False
3474,"Por ello , la beca podrá repartirse en su totalidad a los candidatos seleccionados en un único pago","Por ello , la beca podrá repartirse en su totalidad a las candidaturas seleccionadas en un único pago",False
