gender_exclusive,gender_inclusive,difficulty,origin
Los drogadictos luchan contra la adicción con valentía.,Las personas con problemas de adicción luchan contra esta con valentía.,terminologia,GPT-3.5_fs_multiplication
La esquizofrénica recibía tratamiento psiquiátrico para controlar sus síntomas.,La mujer que tiene esquizofrenia recibía tratamiento psiquiátrico para controlar sus síntomas.,terminologia,GPT-3.5_fs_multiplication
Hermafroditas pueden enfrentar desafíos relacionados con su identidad de género.,Personas intersexuales pueden enfrentar desafíos relacionados con su identidad de género.,terminologia,GPT-3.5_fs_multiplication
El paralítico se desplazaba en silla de ruedas debido a su discapacidad física.,La persona con discapacidad física se desplazaba en silla de ruedas debido a su discapacidad.,terminologia,GPT-3.5_fs_multiplication
Los homosexuales luchan por la igualdad de derechos en la sociedad.,Las personas homosexuales luchan por la igualdad de derechos en la sociedad.,terminologia,GPT-3.5_fs_multiplication
Los países del tercer mundo enfrentan desafíos económicos y sociales.,Los países empobrecidos enfrentan desafíos económicos y sociales.,terminologia,GPT-3.5_fs_multiplication
Los sin techo necesitan refugio y apoyo para salir de la calle.,Las personas sin hogar necesitan refugio y apoyo para salir de la calle.,terminologia,GPT-3.5_fs_multiplication
El esquizofrénico recibía terapia para manejar sus episodios psicóticos.,El hombre que tiene esquizofrenia recibía terapia para manejar sus episodios psicóticos.,terminologia,GPT-3.5_fs_multiplication
Los mendigos dependen de la caridad pública para sobrevivir en la calle.,Las personas en situación de calle dependen de la caridad pública para sobrevivir.,terminologia,GPT-3.5_fs_multiplication
Los prisioneros cumplen condena en centros penitenciarios.,Las personas que están presas cumplen condena en centros penitenciarios.,terminologia,GPT-3.5_fs_multiplication
Los países tercermundistas requieren ayuda internacional para su desarrollo.,Los países empobrecidos requieren ayuda internacional para su desarrollo.,terminologia,GPT-3.5_fs_multiplication
El cambio de sexo es un proceso personal y significativo para muchas personas.,La transición de género es un proceso personal y significativo para muchas personas.,terminologia,GPT-3.5_fs_multiplication
Los gitanos enfrentan discriminación étnica en algunas sociedades.,El pueblo gitano enfrenta discriminación étnica en algunas sociedades.,terminologia,GPT-3.5_fs_multiplication
La desempleada buscaba activamente trabajo para sustentar a su familia.,La mujer que estaba desempleada buscaba activamente trabajo para sustentar a su familia.,terminologia,GPT-3.5_fs_multiplication
El manco adaptaba su vida diaria a su discapacidad física.,La persona con discapacidad física adaptaba su vida diaria a su discapacidad.,terminologia,GPT-3.5_fs_multiplication
Los sordos utilizan el lenguaje de señas para comunicarse.,Las personas sordas utilizan el lenguaje de señas para comunicarse.,terminologia,GPT-3.5_fs_multiplication
La coja necesitaba ayuda para movilizarse debido a su dificultad para caminar.,La mujer con movilidad reducida necesitaba ayuda para movilizarse debido a su dificultad para caminar.,terminologia,GPT-3.5_fs_multiplication
Los autistas tienen habilidades y talentos únicos.,Las personas con autismo tienen habilidades y talentos únicos.,terminologia,GPT-3.5_fs_multiplication
El deudor negociaba con el banco para refinanciar su préstamo.,La persona deudora negociaba con el banco para refinanciar su préstamo.,terminologia,GPT-3.5_fs_multiplication
Los criminales deben enfrentar las consecuencias de sus acciones.,Las personas que cometen crímenes deben enfrentar las consecuencias de sus acciones.,terminologia,GPT-3.5_fs_multiplication
Los musulmanes practican su religión en comunidades diversas.,Las personas musulmanas practican su religión en comunidades diversas.,terminologia,GPT-3.5_fs_multiplication
La deudora estaba preocupada por su deuda acumulada.,La persona deudora estaba preocupada por su deuda acumulada.,terminologia,GPT-3.5_fs_multiplication
Los niños hiperactivos requieren un enfoque educativo especializado.,Los niños y niñas con Trastorno por Déficit de Atención e Hiperactividad requieren un enfoque educativo especializado.,terminologia,GPT-3.5_fs_multiplication
Los padres son modelos a seguir para sus hijos.,La familia es fundamental en la educación y crianza de los hijos.,terminologia,GPT-3.5_fs_multiplication
Las lesbianas luchan por el reconocimiento de sus derechos en la sociedad.,Las mujeres lesbianas luchan por el reconocimiento de sus derechos en la sociedad.,terminologia,GPT-3.5_fs_multiplication
Las personas que sufren Síndrome de Down merecen inclusión y respeto.,Las personas que tienen Síndrome de Down merecen inclusión y respeto.,terminologia,GPT-3.5_fs_multiplication
Los minusválidos necesitan adaptaciones para vivir de forma independiente.,Las personas con discapacidad necesitan adaptaciones para vivir de forma independiente.,terminologia,GPT-3.5_fs_multiplication
Los alcohólicos buscan ayuda para superar su adicción.,Las personas con problemas de alcoholismo buscan ayuda para superar su adicción.,terminologia,GPT-3.5_fs_multiplication
Los migrantes buscan una vida mejor en otro país.,Las personas migrantes buscan una vida mejor en otro país.,terminologia,GPT-3.5_fs_multiplication
Los delincuentes enfrentan sanciones legales por sus actos.,Las personas que cometen delitos enfrentan sanciones legales por sus actos.,terminologia,GPT-3.5_fs_multiplication
Los inmigrantes contribuyen al enriquecimiento cultural de su país de acogida.,Las personas inmigrantes contribuyen al enriquecimiento cultural de su país de acogida.,terminologia,GPT-3.5_fs_multiplication
La paralítica necesitaba asistencia para realizar tareas cotidianas.,La persona con movilidad reducida necesitaba asistencia para realizar tareas cotidianas.,terminologia,GPT-3.5_fs_multiplication
Los padres tienen la responsabilidad de criar y educar a sus hijos.,Las madres y los padres son responsables de criar y educar a sus hijos.,terminologia,GPT-3.5_fs_multiplication
La comunidad transexual lucha por la igualdad de derechos.,La comunidad de personas transexuales lucha por la igualdad de derechos.,terminologia,GPT-3.5_fs_multiplication
Los transexuales merecen respeto y apoyo en su transición de género.,Las personas transexuales merecen respeto y apoyo en su transición de género.,terminologia,GPT-3.5_fs_multiplication
Las dificultades económicas afectan especialmente a los pobres.,Las dificultades económicas afectan especialmente a las personas en situación de pobreza.,terminologia,GPT-3.5_fs_multiplication
La manca aprendió a hacer muchas cosas con una sola mano.,La persona con movilidad reducida aprendió a hacer muchas cosas con una sola mano.,terminologia,GPT-3.5_fs_multiplication
Los mendigos buscan refugio en los rincones de la ciudad.,Las personas que viven en situación de calle buscan refugio en los rincones de la ciudad.,terminologia,GPT-3.5_fs_multiplication
Los deudores deben cumplir con sus compromisos financieros.,Quienes tienen deudas deben cumplir con sus compromisos financieros.,terminologia,GPT-3.5_fs_multiplication
Los refugiados huyen de la guerra en busca de seguridad.,Las personas refugiadas huyen de la guerra en busca de seguridad.,terminologia,GPT-3.5_fs_multiplication
Los inmigrantes ilegales cruzan la frontera en busca de una vida mejor.,Las personas inmigrantes en situación irregular cruzan la frontera en busca de una vida mejor.,terminologia,GPT-3.5_fs_multiplication
Los desempleados enfrentan grandes dificultades para encontrar trabajo.,Las personas en situación de desempleo enfrentan grandes dificultades para encontrar trabajo.,terminologia,GPT-3.5_fs_multiplication
El enfermo mental necesita apoyo y comprensión de su entorno.,El hombre con trastorno de salud mental necesita apoyo y comprensión de su entorno.,terminologia,GPT-3.5_fs_multiplication
Los negros enfrentan discriminación racial en muchas sociedades.,Las personas negras enfrentan discriminación racial en muchas sociedades.,terminologia,GPT-3.5_fs_multiplication
No permitieron que el cojo participara en la competencia.,No permitieron que el hombre con discapacidad física participara en la competencia.,terminologia,GPT-3.5_fs_multiplication
La coja camina con dificultad debido a su discapacidad.,La persona con movilidad reducida camina con dificultad debido a su discapacidad.,terminologia,GPT-3.5_fs_multiplication
El esquizofrénico experimenta episodios de alucinaciones.,El hombre diagnóstico de esquizofrenia experimenta episodios de alucinaciones.,terminologia,GPT-3.5_fs_multiplication
Los criminales deben ser llevados ante la justicia por sus acciones.,Quienes cometen actos delictivos deben ser llevadas ante la justicia por sus acciones.,terminologia,GPT-3.5_fs_multiplication
Los hermafroditas nacen con características sexuales ambiguas.,Las personas intersexuales nacen con características sexuales ambiguas.,terminologia,GPT-3.5_fs_multiplication
Los sordomudos utilizan lenguaje de señas para comunicarse.,Las personas sordomudas utilizan lenguaje de señas para comunicarse.,terminologia,GPT-3.5_fs_multiplication
La enferma mental necesita tratamiento y apoyo emocional.,La persona con enfermedad mental necesita tratamiento y apoyo emocional.,terminologia,GPT-3.5_fs_multiplication
Los mendigos piden limosna en las esquinas de la calle.,Las personas que piden limosna se encuentran en las esquinas de la calle.,terminologia,GPT-3.5_fs_multiplication
Los deudores deben saldar sus deudas para evitar problemas financieros.,Quienes adeudan deben saldar sus deudas para evitar problemas financieros.,terminologia,GPT-3.5_fs_multiplication
El cambio de sexo es un proceso complejo y personal.,La transición de género es un proceso complejo y personal.,terminologia,GPT-3.5_fs_multiplication
Los ciegos utilizan bastones para desplazarse con seguridad.,Las personas ciegas utilizan bastones para desplazarse con seguridad.,terminologia,GPT-3.5_fs_multiplication
Los autistas tienen dificultades para comunicarse y socializar.,Las personas con trastorno del espectro autista tienen dificultades para comunicarse y socializar.,terminologia,GPT-3.5_fs_multiplication
Las personas que sufren Síndrome de Down necesitan apoyo especializado.,Las personas que presentan Síndrome de Down necesitan apoyo especializado.,terminologia,GPT-3.5_fs_multiplication
Los gordos enfrentan estigmatización y discriminación por su peso.,Las personas con sobrepeso u obesidad enfrentan estigmatización y discriminación por su peso.,terminologia,GPT-3.5_fs_multiplication
Los inmigrantes ilegales cruzan la frontera en busca de oportunidades.,Las personas extranjeras en situación administrativa irregular cruzan la frontera en busca de oportunidades.,terminologia,GPT-3.5_fs_multiplication
Los enfermos mentales necesitan tratamiento y apoyo emocional.,Las personas con enfermedades mentales necesitan tratamiento y apoyo emocional.,terminologia,GPT-3.5_fs_multiplication
Los ancianos merecen respeto y cuidados en su vejez.,Las personas de la tercera edad merecen respeto y cuidados en su vejez.,terminologia,GPT-3.5_fs_multiplication
